verbo_inicial,substantivo,categoria,subcategoria,horas
Adicionar,Auditoria,Operacional,Suporte Interno,0.7
Adicionar,Auditoria,Desenvolvimento,Aprimoramento,4
Adicionar,Botão,Desenvolvimento,Erro,1
Adicionar,Botão,Desenvolvimento,Aprimoramento,2.25
Adicionar,Botão,Desenvolvimento,Aprimoramento,2.62
Adicionar,Caixa de Texto,Desenvolvimento,Aprimoramento,2.5
Adicionar,Campo,Desenvolvimento,Aprimoramento,1
Adicionar,Campo,Desenvolvimento,Aprimoramento,0.5
Adicionar,Campos,Desenvolvimento,Aprimoramento,1.75
Adicionar,Campos,Desenvolvimento,Aprimoramento,1.75
Adicionar,Carregador,Desenvolvimento,Aprimoramento,3.5
Adicionar,Classes,Desenvolvimento,Aprimoramento,2
Adicionar,Classes,Desenvolvimento,Aprimoramento,2.25
Adicionar,Coluna,Desenvolvimento,Aprimoramento,1
Adicionar,Coluna,Desenvolvimento,Aprimoramento,0.5
Adicionar,Coluna,Desenvolvimento,Aprimoramento,0.25
Adicionar,Coluna,Desenvolvimento,Aprimoramento,0.5
Adicionar,Critérios de Pesquisa,Desenvolvimento,Aprimoramento,7
Adicionar,Dados,Desenvolvimento,Aprimoramento,0.25
Adicionar,Descrição,Desenvolvimento,Aprimoramento,1.75
Adicionar,Divisores,Desenvolvimento,Aprimoramento,3.75
Adicionar,Documentação,Desenvolvimento,Aprimoramento,1.25
Adicionar,Documentação,Desenvolvimento,Lançamento,0.75
Adicionar,Entrada,Operacional,Suporte Interno,2.5
Adicionar,Escalas,Desenvolvimento,Aprimoramento,3
Adicionar,Estatística,Desenvolvimento,Aprimoramento,4
Adicionar,Exclusão,Desenvolvimento,Aprimoramento,3.96
Adicionar,Filtro,Desenvolvimento,Erro,7.5
Adicionar,Filtro,Desenvolvimento,Aprimoramento,14
Adicionar,Foto,Desenvolvimento,Aprimoramento,6.02
Adicionar,Funcionalidade de Email,Desenvolvimento,Aprimoramento,6
Adicionar,Guia,Desenvolvimento,Aprimoramento,4
Adicionar,Histórico,Desenvolvimento,Aprimoramento,8.7
Adicionar,Horários,Desenvolvimento,Aprimoramento,16.75
Adicionar,Imagens,Desenvolvimento,Aprimoramento,1.25
Adicionar,Licença,Desenvolvimento,Aprimoramento,11
Adicionar,Limites,Desenvolvimento,Aprimoramento,1
Adicionar,Limites,Desenvolvimento,Erro,1
Adicionar,Livro de Figuras,Desenvolvimento,Aprimoramento,7
Adicionar,Logo,Desenvolvimento,Aprimoramento,0.25
Adicionar,Mensagem,Desenvolvimento,Aprimoramento,3.1
Adicionar,Moedas,Desenvolvimento,Aprimoramento,4.5
Adicionar,Nome,Operacional,Suporte ao Cliente,1
Adicionar,Opção,Desenvolvimento,Aprimoramento,0.7
Adicionar,Opção,Desenvolvimento,Erro,1
Adicionar,Ordem,Desenvolvimento,Aprimoramento,11.5
Adicionar,Pagamento,Desenvolvimento,Aprimoramento,6
Adicionar,Permissões,Desenvolvimento,Aprimoramento,4
Adicionar,Pesquisa,Desenvolvimento,Aprimoramento,7
Adicionar,Política,Desenvolvimento,Erro,0.5
Adicionar,Recurso,Desenvolvimento,Aprimoramento,10.5
Adicionar,Referência,Desenvolvimento,Aprimoramento,0.7
Adicionar,Referência,Desenvolvimento,Aprimoramento,0.75
Adicionar,Referência,Desenvolvimento,Aprimoramento,1
Adicionar,Relatório,Desenvolvimento,Aprimoramento,5.86
Adicionar,Relatórios,Gestão,Marketing,16
Adicionar,Rota,Operacional,Consultoria,0.5
Adicionar,Salvamento,Desenvolvimento,Aprimoramento,5
Adicionar,Script,Desenvolvimento,Aprimoramento,3.5
Adicionar,Seção,Desenvolvimento,Erro,5
Adicionar,Seção,Desenvolvimento,Aprimoramento,1.4
Adicionar,Seção,Desenvolvimento,Aprimoramento,1.5
Adicionar,Seção,Desenvolvimento,Erro,2.5
Adicionar,Seção,Operacional,Suporte ao Cliente,2.75
Adicionar,Seção,Desenvolvimento,Aprimoramento,4
Adicionar,Sistema,Desenvolvimento,Aprimoramento,13.5
Adicionar,Tabela,Desenvolvimento,Aprimoramento,1.75
Adicionar,Tabelas,Desenvolvimento,Aprimoramento,1.75
Adicionar,Tempo Limite,Desenvolvimento,Aprimoramento,1
Adicionar,Testes,Desenvolvimento,Lançamento,2.5
Adicionar,Texto,Gestão,Marketing,2.5
Adicionar,Tipos de Documentos,Desenvolvimento,Aprimoramento,1
Adicionar,Tipos de Documentos,Desenvolvimento,Aprimoramento,2
Adicionar,Tratamento de Erros,Desenvolvimento,Erro,0.7
Adicionar,Usuário,Operacional,Suporte ao Cliente,0.6
Adicionar,Usuário,Desenvolvimento,Suporte Interno,0.75
Adicionar,Validação,Desenvolvimento,Aprimoramento,1.5
Adicionar,Vários Documentos,Desenvolvimento,Aprimoramento,17.75
Adicionar,Website,Gestão,Marketing,4
Aprender,C#,Desenvolvimento,Treinamento,3.43
Aprender,C#,Desenvolvimento,Treinamento,4
Aprender,C#,Desenvolvimento,Treinamento,5.51
Aprender,C# e SQL,Desenvolvimento,Treinamento,5
Aprender,Design,Desenvolvimento,Documentação,13.5
Atualizar,Acesso,Operacional,Suporte Interno,4.75
Atualizar,Banco,Operacional,Suporte Interno,2.5
Atualizar,Banco,Desenvolvimento,Aprimoramento,10.5
Atualizar,Cálculo,Desenvolvimento,Aprimoramento,3.5
Atualizar,Cálculo,Desenvolvimento,Erro,6.5
Atualizar,Campo,Desenvolvimento,Aprimoramento,0.5
Atualizar,Campo,Desenvolvimento,Aprimoramento,1.5
Atualizar,Campos,Desenvolvimento,Aprimoramento,3.5
Atualizar,Campos,Desenvolvimento,Aprimoramento,4.5
Atualizar,Carregador,Desenvolvimento,Aprimoramento,19
Atualizar,Carregador,Desenvolvimento,Aprimoramento,35.5
Atualizar,Certificado,Operacional,Suporte Interno,0.75
Atualizar,Certificado,Operacional,Suporte Interno,1.25
Atualizar,Chave,Operacional,Suporte Interno,0.33
Atualizar,Chave,Desenvolvimento,Suporte Interno,0.5
Atualizar,Classes,Desenvolvimento,Aprimoramento,6
Atualizar,Comparador,Desenvolvimento,Aprimoramento,3
Atualizar,Comparador,Desenvolvimento,Aprimoramento,4.02
Atualizar,Conta,Desenvolvimento,Aprimoramento,11
Atualizar,Conversão,Desenvolvimento,Aprimoramento,21
Atualizar,Correções,Operacional,Suporte Interno,3.5
Atualizar,Cronograma,Operacional,Suporte Interno,1
Atualizar,Dados,Desenvolvimento,Aprimoramento,0.7
Atualizar,Dados,Operacional,Suporte Interno,0.7
Atualizar,Demonstração,Desenvolvimento,Lançamento,7.5
Atualizar,Documentação,Desenvolvimento,Documentação,2.84
Atualizar,Documentação,Operacional,Suporte Interno,3.5
Atualizar,Documentação,Desenvolvimento,Aprimoramento,8.75
Atualizar,Estatística,Desenvolvimento,Erro,7
Atualizar,Firewall,Operacional,Suporte Interno,3.5
